Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT
405,12225,27,12409.91284,12847.5941,622.5940956,
406,12254,7,12590.73283,12856.53,602.5299979,
407,12281,10,12715.95523,13723.3196,1442.3196,
408,12313,19,12723.06654,13712.84791,1399.847905,
409,12342,11,12439.57418,12912.84598,570.8459835,
410,12377,14,12533.9273,13438.46846,1061.468459,
411,12405,3,12821.54904,13912.41773,1507.417728,
412,12423,23,12937.382,13821.55053,1398.550533,
413,12458,28,13114.98706,13508.2872,1050.287202,
414,12489,4,12795.64401,13654.93174,1165.931744,
415,12517,7,13081.92609,14119.29824,1602.298244,
416,12549,30,13011.22132,13760.60246,1211.602463,
417,12584,17,12985.24795,14064.86934,1480.869345,
418,12615,8,13109.12245,13486.74131,871.7413099,
419,12647,8,13273.16292,13932.06276,1285.062759,
420,12666,8,13037.53869,13190.71451,524.714513,
421,12698,8,13007.5949,13870.31579,1172.315793,
422,12730,8,13379.07473,14142.06686,1412.066862,
423,12752,8,13204.62457,13671.74875,919.748749,
424,12785,8,13386.60618,13607.9114,822.9114026,
425,12813,18,13327.21774,13854.22109,1041.221088,
426,12829,27,13092.7002,13876.616,1047.616004,
427,12857,0,13196.7038,13495.55945,638.559445,
428,12886,11,13417.57958,13485.73381,599.7338134,
429,12922,31,12968.52956,13936.00721,1014.007211,
430,12951,14,13620.74298,14071.36144,1120.36144,
431,12977,1,13356.68408,13651.29034,674.2903445,
432,13006,1,13757.13847,14536.916,1530.916002,
433,13037,28,13190.53671,14287.87492,1250.874916,
434,13063,11,13531.83154,14482.63578,1419.635782,
435,13092,25,13668.28118,14502.78702,1410.787023,
436,13130,8,13454.19747,14011.71231,881.7123143,
437,13163,12,13469.61307,14261.67846,1098.67846,
438,13190,26,13578.6721,14297.23079,1107.230786,
439,13229,0,13666.50096,14134.04486,905.0448571,
440,13260,5,13804.04578,14485.1192,1225.119197,
441,13287,20,13767.00208,14163.56734,876.5673365,
442,13312,24,13897.19228,14493.43468,1181.434676,
443,13344,24,13711.7839,14116.82764,772.8276375,
444,13375,24,13938.20245,14227.89194,852.8919392,
445,13403,24,13825.80019,14152.34728,749.3472762,
446,13426,24,14174.5192,14727.81569,1301.81569,
447,13454,24,14698.42477,15602.34567,2148.34567,
448,13480,24,13926.87023,14485.84965,1005.849654,
449,13516,24,14298,14755.19252,1239.19252,
450,13545,24,14070.01905,14581.85594,1036.855935,
451,13582,31,13800.51545,14324.62586,742.6258641,
452,13610,24,14017.01966,14140.93091,530.9309141,
453,13655,21,13828.40127,14296.0239,641.0239032,
454,13685,13,13868.06829,14454.00528,769.005277,
455,13716,10,13821.5031,14361.59767,645.5976694,
456,13748,14,14206.454,15386.70948,1638.709482,
457,13779,19,14006.07928,14625.5052,846.5052026,
458,13809,18,14210.30254,15125.82701,1316.827009,
459,13839,26,14100.55879,14827.07775,988.0777541,
460,13870,27,14102.66246,14994.33092,1124.330921,
461,13891,21,14229.74031,15056.43343,1165.433427,
462,13918,8,14155.74578,15327.82198,1409.821984,
463,13949,24,14197.09071,15076.27403,1127.274033,
464,13966,17,14280.8161,14975.03182,1009.031819,
465,13986,3,14248.68803,15020.78989,1034.789888,
466,14018,1,14379.95165,15385.18473,1367.184732,
467,14049,4,14258.3466,15107.19907,1058.199072,
468,14090,0,14327.39687,14986.95846,896.9584559,
469,14112,6,14310.90953,14969.07708,857.0770814,
470,14136,30,14414.5193,14972.48068,836.4806827,
471,14165,6,14380.67568,14864.07604,699.0760424,
472,14188,13,14637.25939,14934.68333,746.6833304,
473,14221,12,14339.50519,15179.83374,958.8337405,
474,14259,22,14382.91126,15673.94585,1414.945852,
475,14283,28,14396.77854,15127.517,844.516996,
476,14314,10,14753.49689,15144.81901,830.8190091,
477,14345,20,14477.00379,15508.30072,1163.300718,
478,14368,25,14548.89776,15412.8015,1044.801497,
479,14396,11,14852.77089,15232.3301,836.3300971,
480,14422,30,14838.38172,15882.35573,1460.35573,
481,14451,6,14895.10314,15564.71144,1113.711444,
482,14469,26,15079.46151,16123.27525,1654.275247,
483,14502,15,14869.00545,15163.90072,661.9007172,
484,14539,15,14963.49971,15345.46436,806.4643636,
485,14563,15,14702.0899,15432.43717,869.43717,
486,14590,4,14931.31652,15503.57307,913.5730715,
487,14614,21,15014.23466,15252.03525,638.0352508,
488,14642,31,14933.35889,15783.06657,1141.066575,
489,14677,22,15005.81924,15776.44189,1099.441889,
490,14714,24,15122.33985,15516.40993,802.409932,
491,14752,15,15076.01336,15835.52147,1083.521471,
492,14775,13,15256.74124,15569.11442,794.1144174,
493,14811,7,15152.32975,15556.03943,745.0394344,
494,14841,3,15209.11218,15599.41555,758.4155492,
495,14856,23,15209.30582,15746.91516,890.9151625,
496,14890,23,15368.48093,16129.66422,1239.664219,
497,14916,7,15275.70683,16054.71223,1138.712228,
498,14942,18,15319.92235,16261.93223,1319.93223,
499,14971,0,15265.84912,16294.82174,1323.821736,
500,15002,17,15378.38411,15757.44357,755.4435661,
