,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400
37,741.13,1009.83,1359.98,1623.94,1874.67,2006.81,2312.77,2471.59,2819.47,3197.02,3399.49,3659.15,4082.41,4218.51,4390.8,4718.74,4948.74,5012.69,5314.72,5472.43,5818.86,6150.1,6423.41,6774.26,7046.06,7266.86,7431.39,7733.68,7878.03,8213.84,8490.23,8828.8,9160.25,9311.52,9605.72,9953.94,10084.22,10288.04,10430.1,,,,
38,766.46,1002.21,1302.14,1596.61,1846.04,2134.36,2503.12,2843.6,3203.36,3634.57,3950.55,4141.79,4463.23,4874.13,5192.71,5539.57,5909.9,6249.2,6484.81,6640.34,6854.16,7180.02,7649.63,8034.19,8414.88,8576.21,8978.3,9410.36,9801.58,10203.13,10372.43,10613.84,11040.57,11305.13,11731.88,12094.07,12422.9,12719.12,12981.69,13453.83,13595.78,,
39,765.06,998.04,1275.26,1424.54,1776.03,2078.92,2371.15,2572.53,2713.33,3060.26,3414.9,3660.56,3847.53,4053.93,4179.76,4272.19,4566.27,4853.92,5048.08,5225.9,5529.74,5770.61,6116.51,6313.2,6529.79,6708.36,6957.11,7251.76,7416.8,7604.48,7768.02,7995.34,8242.78,8603.23,8873.32,9109.65,9270.17,9654.9,9949.13,,,,
40,759.58,1181.28,1454.61,1706.34,1839.07,2134.97,2488.55,2768.55,3087.22,3316.33,3676.79,3998.89,4384.87,4695.26,4932.44,5301.33,5645.57,5863.94,6026.97,6415.92,6582.94,6860.96,7121.66,7438.79,7686.64,8094.25,8449.29,8735.3,9016.06,9303.37,9540.17,9838.02,9962.99,10179.97,10439.56,10790.18,11047.72,11384.91,11580.37,,,,
41,752.09,1039.16,1402.69,1834.73,2188.33,2460.71,2786.2,3070.42,3493.98,3773.03,4077.78,4501.55,4722.79,5055.04,5569.8,5940.38,6275.0,6459.73,6887.82,7012.28,7303.12,7714.01,8237.89,8708.34,8941.91,9306.84,9738.97,10135.12,10486.76,10924.14,11292.72,11621.5,11982.51,12199.19,12504.56,12930.02,13313.93,13674.98,14073.83,14206.06,14594.09,,
42,679.18,987.7,1267.47,1499.78,1550.55,1650.45,1862.95,2161.64,2357.59,2537.34,2763.78,2919.38,3139.26,3484.55,3668.56,3867.45,4049.96,4247.56,4415.57,4578.68,4734.22,4958.87,5168.19,5404.21,5691.34,5806.67,6065.77,6242.6,6498.53,6766.25,7060.33,7336.14,7460.5,7712.54,7993.98,8316.75,8622.54,8894.14,,,,,
43,723.38,834.95,1029.46,1377.08,1633.26,1956.14,2155.97,2403.74,2547.65,2732.86,2993.17,3252.65,3357.34,3698.91,3939.32,4162.86,4469.5,4673.15,4966.99,5156.71,5421.26,5649.07,5979.37,6185.02,6393.73,6617.45,6942.9,7136.7,7553.26,7810.03,8095.24,8313.67,8527.09,8826.0,9008.02,9194.62,9424.31,9789.04,10017.7,,,,
44,829.21,1077.23,1333.07,1799.69,2097.65,2419.1,2780.7,3192.44,3491.96,3754.13,4210.18,4573.6,4839.03,5101.14,5329.66,5632.51,6052.66,6426.55,6686.91,7071.76,7398.97,7637.75,7919.82,8242.44,8583.94,8910.85,9222.1,9552.52,9875.31,10116.09,10360.24,10598.91,10820.89,11240.37,11489.37,11718.21,12092.05,12460.61,12748.09,13119.61,,,
45,794.07,1061.81,1464.33,1827.47,2050.75,2384.32,2739.68,3137.98,3375.08,3618.09,4012.21,4327.33,4496.75,4852.02,5080.44,5325.04,5771.44,5995.37,6111.26,6428.71,6799.64,7164.53,7562.81,7786.25,8132.37,8499.09,8816.94,9034.64,9263.74,9550.29,9700.89,10051.78,10338.47,10599.84,10824.13,11021.77,11426.77,11781.31,12055.73,12357.04,,,
46,724.68,860.29,920.21,1170.84,1610.3,1743.47,2001.27,2166.72,2505.41,2767.66,3010.5,3273.59,3583.82,4063.91,4444.94,4794.47,5069.65,5429.37,5714.73,6015.2,6323.93,6550.35,6869.31,7333.73,7548.61,7982.42,8330.99,8685.56,8975.77,9296.29,9537.52,9836.47,10233.56,10511.34,10742.36,11123.0,11387.65,11641.68,11868.98,12224.36,,,
47,685.22,1008.64,1188.8,1605.34,1848.27,2062.73,2188.13,2577.23,2936.11,3254.41,3489.29,3848.84,4010.5,4208.91,4644.56,5040.91,5398.52,5824.54,6061.18,6343.12,6483.34,6767.2,7119.21,7341.0,7476.51,7805.81,8103.19,8446.24,8759.04,9060.25,9240.6,9438.38,9727.64,10064.14,10361.08,10655.05,11056.58,11342.06,11465.12,11756.72,,,
48,719.08,917.54,1249.71,1486.1,1655.41,1953.13,2197.35,2449.1,2671.04,2888.9,3175.67,3446.93,3619.35,3936.67,4074.71,4357.05,4553.62,4620.75,4744.05,5101.09,5235.73,5443.48,5765.12,6122.44,6379.52,6714.68,7059.42,7304.21,7585.71,7958.92,8351.89,8558.0,8697.2,9085.53,9452.84,9803.58,10131.71,10358.64,10548.83,,,,
49,778.81,1106.73,1326.05,1574.08,1721.64,2032.49,2390.01,2624.03,2990.98,3338.72,3668.25,4025.51,4198.0,4513.47,4842.89,4877.46,5165.83,5433.82,5696.71,5992.62,6246.07,6449.75,6684.27,6997.42,7163.85,7518.4,7743.29,7965.83,8187.97,8417.83,8713.88,9016.23,9247.72,9465.53,9758.38,10016.35,10352.95,10621.31,11001.07,,,,
50,729.37,875.45,1027.0,1262.71,1322.17,1266.31,1450.51,1686.91,1704.75,1793.41,2015.31,2205.33,2337.09,2497.84,2550.16,2835.23,3025.47,3255.82,3357.35,3563.75,3793.12,3995.29,3985.72,4200.04,4403.05,4553.4,4632.46,4669.98,4767.29,4958.64,5231.82,5500.51,5653.44,5868.98,6020.41,6211.94,6455.19,,,,,,
51,780.3,1054.64,1361.28,1784.76,2055.92,2494.02,2921.92,3294.69,3616.86,3805.14,4109.95,4515.26,4797.07,5177.35,5584.78,5899.9,6217.3,6564.71,6934.52,7319.79,7459.92,7698.57,8062.5,8412.83,8809.02,9336.51,9738.09,10213.22,10702.3,11031.12,11334.68,11720.03,12080.66,12455.87,12863.47,13282.57,13624.48,13853.16,14280.07,14601.53,14885.74,,
