,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,232,6974,21,7570.799799,8214.371862,1240.371862,643.5720628,596.7997989
,233,7000,31,7129.711218,7320.805435,320.8054353,191.0942176,129.7112177
,234,7040,20,7317.346354,8007.732478,967.7324777,690.3861238,277.3463539
,235,7071,13,7247.853046,7523.833118,452.8331181,275.9800717,176.8530463
,236,7094,12,7357.92802,7823.307436,729.3074356,465.3794151,263.9280205
,237,7121,2,7242.24768,7559.877969,438.8779686,317.6302882,121.2476804
,238,7157,6,7374.79348,8164.17615,1007.17615,789.3826702,217.7934802
,239,7186,15,7349.232962,7642.751275,456.7512752,293.5183129,163.2329624
,240,7221,27,7374.652205,7649.80489,428.8048896,275.1526849,153.6522047
,241,7244,28,7460.411645,7882.312107,638.312107,421.9004622,216.4116448
,242,7286,30,7432.577624,7575.101307,289.1013067,142.5236822,146.5776245
,243,7317,33,7502.15399,7929.261705,612.2617047,427.1077148,185.15399
,244,7354,7,7462.245092,8028.966364,674.9663641,566.7212719,108.2450923
,245,7383,19,7461.447435,8115.591914,732.5919141,654.1444795,78.44743463
,246,7417,5,7583.652333,7633.652333,216.6523327,50,166.6523327
,247,7450,3,7705.906233,8575.049489,1125.049489,869.1432563,255.9062328
,248,7475,18,7658.095603,8216.490625,741.4906249,558.3950215,183.0956034
,249,7505,9,7698.041446,8558.183876,1053.183876,860.1424301,193.0414463
,250,7530,8,7633.585713,8320.171469,790.1714691,686.5857558,103.5857133
,251,7557,24,7936.581348,8489.042207,932.0422067,552.4608583,379.5813483
,252,7585,30,7782.850954,8320.770093,735.7700929,537.9191389,197.850954
,253,7624,2,7721.621719,8360.822,736.8220005,639.2002816,97.62171889
,254,7666,34,7784.296238,8437.345241,771.3452411,653.0490028,118.2962383
,255,7698,14,7947.755881,8357.470416,659.4704156,409.7145348,249.7558808
,256,7720,23,7796.485293,8122.499096,402.4990961,326.0138034,76.4852927
,257,7754,29,7967.114992,8447.125409,693.125409,480.0104166,213.1149924
,258,7777,25,7863.683332,8703.028314,926.0283144,839.3449827,86.68333173
,259,7802,5,8124.442243,8461.17062,659.1706201,336.7283772,322.4422429
,260,7827,10,8084.188647,8366.658114,539.6581141,282.4694674,257.1886467
,261,7855,1,7876.095023,8107.993708,252.9937079,231.8986848,21.09502311
,262,7887,15,8066.412932,8533.525338,646.5253377,467.1124062,179.4129315
,263,7914,28,8314.604543,8908.908338,994.9083375,594.3037944,400.6045432
,264,7943,12,7984.593269,8707.268853,764.2688529,722.6755842,41.59326869
,265,7974,32,8245.503223,8541.611311,567.6113112,296.1080884,271.5032228
,266,8012,11,8333.161953,8569.384306,557.3843058,236.2223529,321.1619529
,267,8046,17,8274.324331,8770.505749,724.5057492,496.1814184,228.3243307
,268,8077,13,8119.011903,8357.850761,280.8507609,238.8388578,42.01190308
,269,8096,7,8266.414201,8778.277464,682.2774643,511.863263,170.4142013
,270,8124,20,8302.361991,8942.362773,818.3627727,640.0007812,178.3619915
,271,8150,16,8308.61904,8583.155013,433.1550126,274.5359721,158.6190405
,272,8187,27,8310.987903,8470.302058,283.3020577,159.3141551,123.9879026
,273,8216,33,8344.097619,8643.286523,427.2865226,299.1889035,128.097619
,274,8250,21,8399.405489,9342.876209,1092.876209,943.4707203,149.4054885
,275,8273,6,8576.713681,9271.561146,998.5611462,694.8474653,303.713681
,276,8305,18,8426.741529,8958.419063,653.4190633,531.6775338,121.7415295
,277,8342,1,8414.062473,8844.747973,502.747973,430.6855001,72.0624729
,278,8384,30,8696.054482,9317.151898,933.1518983,621.0974159,312.0544824
,279,8416,26,8953.239239,9904.998137,1488.998137,951.758898,537.2392391
,280,8453,14,8667.462118,9259.835311,806.835311,592.3731932,214.4621179
,281,8485,29,8765.349782,8958.895642,473.8956417,193.5458602,280.3497815
,282,8515,22,8583,8766.809684,251.8096842,183.8096842,68
,283,8548,27,8849.219189,9363.468156,815.4681562,514.2489669,301.2191893
,284,8577,15,8691.978259,9035.442959,458.4429586,343.4646998,114.9782588
,285,8608,10,9006.322733,9563.775871,955.7758705,557.453137,398.3227335
,286,8644,2,8664.59126,9046.596496,402.5964958,382.0052356,20.59126028
,287,8685,33,8742.008771,9078.83662,393.8366205,336.8278492,57.00877125
,288,8716,25,9009.155249,9910.918522,1194.918522,901.7632727,293.155249
,289,8750,9,8875.483067,9767.694925,1017.694925,892.2118582,125.4830666
,290,8779,8,8964.283566,9212.567678,433.5676779,248.2841115,185.2835665
,291,8804,24,9065.078532,9303.030208,499.030208,237.9516758,261.0785322
,292,8841,34,8900.236813,9484.182016,643.1820158,583.9452029,59.23681288
,293,8872,13,9514.066975,10307.23341,1435.233414,793.166439,642.0669747
,294,8909,0,9105.229458,9954.691052,1045.691052,849.4615942,196.2294575
,295,8942,32,9226.859615,9311.883141,369.8831407,85.02352616,284.8596145
,296,8973,18,9051.549348,9611.053592,638.0535924,559.5042448,78.54934755
,297,9007,1,9037.413813,9270.913277,263.9132773,233.4994647,30.41381265
